order_month;revenue;orders;customers
2016-09;134,97;1;1
2016-10;40325,11;265;262
2016-12;10,9;1;1
2017-01;111798,36;750;718
2017-02;234223,4;1653;1630
2017-03;359198,85;2546;2508
2017-04;340669,68;2303;2274
2017-05;489338,25;3546;3479
2017-06;421923,37;3135;3076
2017-07;481604,52;3872;3802
2017-08;554699,7;4193;4114
2017-09;607399,67;4150;4083
2017-10;648247,65;4478;4417
2017-11;987765,37;7289;7183
2017-12;726033,1900000001;5513;5450
2018-01;924645,0;7069;6974
2018-02;826437,13;6555;6400
2018-03;953356,25;7003;6914
2018-04;973534,09;6798;6744
2018-05;977544,6900000001;6749;6693
2018-06;856077,86;6099;6061
2018-07;867953,46;6159;6100
2018-08;838576,64;6351;6310
